ASV_ID,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV493,d__Bacteria,k__norank_d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bryobacter,s__unclassified_g__Bryobacter
ASV1015,d__Bacteria,k__norank_d__Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
ASV275,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__unclassified_g__Stenotrophomonas
ASV986,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,g__Streptosporangium,s__unclassified_g__Streptosporangium
ASV1567,d__Bacteria,k__norank_d__Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
ASV1777,d__Bacteria,k__norank_d__Bacteria,p__Armatimonadota,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__norank_f__Fimbriimonadaceae,s__Armatimonadetes_bacterium
ASV999,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Acidiphilium,s__unclassified_g__Acidiphilium
ASV1778,d__Bacteria,k__norank_d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__uncultured_bacterium_g__Bdellovibrio
ASV1117,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__unclassified_o__Rhizobiales,g__unclassified_o__Rhizobiales,s__unclassified_o__Rhizobiales
ASV458,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Terrabacter,s__unclassified_g__Terrabacter
ASV1779,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Amycolatopsis,s__unclassified_g__Amycolatopsis
ASV48,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas
ASV1780,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,s__unclassified_g__Paenibacillus
ASV1781,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__KF-JG30-C25,f__norank_o__KF-JG30-C25,g__norank_f__norank_o__KF-JG30-C25,s__uncultured_soil_bacterium_g__norank_f__norank_o__KF-JG30-C25
ASV1782,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Solibacillus,s__unclassified_g__Solibacillus
ASV1783,d__Bacteria,k__norank_d__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium,s__uncultured_Kofleriaceae_bacterium_g__Haliangium
ASV687,d__Bacteria,k__norank_d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__BIrii41,g__norank_f__BIrii41,s__unclassified_g__norank_f__BIrii41
ASV797,d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__JG30-KF-AS9,g__norank_f__JG30-KF-AS9,s__uncultured_bacterium_g__norank_f__JG30-KF-AS9
ASV1784,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__unclassified_g__Novosphingobium
ASV1039,d__Bacteria,k__norank_d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bryobacter,s__unclassified_g__Bryobacter
ASV1785,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__unclassified_o__Burkholderiales,g__unclassified_o__Burkholderiales,s__unclassified_o__Burkholderiales
ASV1786,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__unclassified_o__Burkholderiales,g__unclassified_o__Burkholderiales,s__unclassified_o__Burkholderiales
ASV1787,d__Bacteria,k__norank_d__Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
ASV581,d__Bacteria,k__norank_d__Bacteria,p__SAR324_cladeMarine_group_B,c__norank_p__SAR324_cladeMarine_group_B,o__norank_c__norank_p__SAR324_cladeMarine_group_B,f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B,g__norank_f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B,s__metagenome_g__norank_f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B
ASV580,d__Bacteria,k__norank_d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__norank_o__0319-6G20,g__norank_f__norank_o__0319-6G20,s__unclassified_g__norank_f__norank_o__0319-6G20
ASV1611,d__Bacteria,k__norank_d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__norank_o__0319-6G20,g__norank_f__norank_o__0319-6G20,s__unclassified_g__norank_f__norank_o__0319-6G20
ASV679,d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__JG30-KF-AS9,g__norank_f__JG30-KF-AS9,s__uncultured_Ktedonobacterales_bacterium_g__norank_f__JG30-KF-AS9
ASV492,d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__uncultured_bacterium_g__norank_f__norank_o__C0119
ASV586,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Plot4-2H12,s__uncultured_Sphingomonadaceae_bacterium_g__Plot4-2H12
ASV1024,d__Bacteria,k__norank_d__Bacteria,p__Abditibacteriota,c__Abditibacteria,o__Abditibacteriales,f__Abditibacteriaceae,g__Abditibacterium,s__uncultured_soil_bacterium_g__Abditibacterium
ASV1788,d__Bacteria,k__norank_d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__norank_o__0319-6G20,g__norank_f__norank_o__0319-6G20,s__unclassified_g__norank_f__norank_o__0319-6G20
ASV727,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__A21b,g__norank_f__A21b,s__unclassified_g__norank_f__A21b
ASV1789,d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__unclassified_g__norank_f__norank_o__C0119
ASV1790,d__Bacteria,k__norank_d__Bacteria,p__Armatimonadota,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__norank_f__Fimbriimonadaceae,s__unclassified_g__norank_f__Fimbriimonadaceae
ASV1791,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__unclassified_g__norank_f__norank_o__Gaiellales
ASV1792,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Frankiaceae,g__Jatrophihabitans,s__Jatrophihabitans_sp.
ASV1793,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Pseudonocardia,s__unclassified_g__Pseudonocardia
ASV1794,d__Bacteria,k__norank_d__Bacteria,p__Armatimonadota,c__Armatimonadia,o__Armatimonadales,f__norank_o__Armatimonadales,g__norank_f__norank_o__Armatimonadales,s__unclassified_g__norank_f__norank_o__Armatimonadales
ASV1795,d__Bacteria,k__norank_d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__P3OB-42,s__unclassified_g__P3OB-42
ASV1796,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__norank_o__Rhodospirillales,g__norank_f__norank_o__Rhodospirillales,s__uncultured_Rhodospirillaceae_bacterium_g__norank_f__norank_o__Rhodospirillales
ASV1797,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__norank_c__Alphaproteobacteria,f__norank_o__norank_c__Alphaproteobacteria,g__norank_f__norank_o__norank_c__Alphaproteobacteria,s__unclassified_g__norank_f__norank_o__norank_c__Alphaproteobacteria
ASV1798,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__unclassified_f__Enterobacteriaceae,s__unclassified_f__Enterobacteriaceae
ASV226,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__unclassified_g__Flavobacterium
ASV157,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
ASV1799,d__Bacteria,k__norank_d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Solibacterales,f__Solibacteraceae,g__Candidatus_Solibacter,s__unclassified_g__Candidatus_Solibacter
ASV1800,d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__Vermiphilaceae,g__norank_f__Vermiphilaceae,s__uncultured_bacterium_g__norank_f__Vermiphilaceae
ASV1801,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__norank_f__Microscillaceae,s__unclassified_g__norank_f__Microscillaceae
ASV1802,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__norank_o__Chitinophagales,g__norank_f__norank_o__Chitinophagales,s__uncultured_soil_bacterium_g__norank_f__norank_o__Chitinophagales
ASV1803,d__Bacteria,k__norank_d__Bacteria,p__Planctomycetota,c__vadinHA49,o__norank_c__vadinHA49,f__norank_o__norank_c__vadinHA49,g__norank_f__norank_o__norank_c__vadinHA49,s__unclassified_g__norank_f__norank_o__norank_c__vadinHA49
ASV1022,d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__norank_f__Roseiflexaceae,s__uncultured_bacterium_g__norank_f__Roseiflexaceae
ASV1143,d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__uncultured_bacterium_g__norank_f__norank_o__C0119
ASV1804,d__Bacteria,k__norank_d__Bacteria,p__Elusimicrobiota,c__Lineage_IIa,o__norank_c__Lineage_IIa,f__norank_o__norank_c__Lineage_IIa,g__norank_f__norank_o__norank_c__Lineage_IIa,s__uncultured_soil_bacterium_g__norank_f__norank_o__norank_c__Lineage_IIa
ASV1805,d__Bacteria,k__norank_d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__norank_o__Oligoflexales,g__norank_f__norank_o__Oligoflexales,s__uncultured_bacterium_Ak20-3
ASV1806,d__Bacteria,k__norank_d__Bacteria,p__SAR324_cladeMarine_group_B,c__norank_p__SAR324_cladeMarine_group_B,o__norank_c__norank_p__SAR324_cladeMarine_group_B,f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B,g__norank_f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B,s__unclassified_g__norank_f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B
ASV1807,d__Bacteria,k__norank_d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__Deinococcus_ruber
ASV1808,d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__JG30-KF-CM66,o__norank_c__JG30-KF-CM66,f__norank_o__norank_c__JG30-KF-CM66,g__norank_f__norank_o__norank_c__JG30-KF-CM66,s__unclassified_g__norank_f__norank_o__norank_c__JG30-KF-CM66
ASV1809,d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__TK10,o__norank_c__TK10,f__norank_o__norank_c__TK10,g__norank_f__norank_o__norank_c__TK10,s__unclassified_g__norank_f__norank_o__norank_c__TK10
ASV1810,d__Bacteria,k__norank_d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__uncultured_bacterium_g__Bdellovibrio
ASV1811,d__Bacteria,k__norank_d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__ADurb.Bin063-1,s__unclassified_g__ADurb.Bin063-1
ASV1812,d__Bacteria,k__norank_d__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium,s__metagenome_g__Haliangium
ASV1813,d__Bacteria,k__norank_d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__unclassified_g__Bdellovibrio
ASV1153,d__Bacteria,k__norank_d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Subgroup_13,f__norank_o__Subgroup_13,g__norank_f__norank_o__Subgroup_13,s__uncultured_bacterium_g__norank_f__norank_o__Subgroup_13
ASV1814,d__Bacteria,k__norank_d__Bacteria,p__SAR324_cladeMarine_group_B,c__norank_p__SAR324_cladeMarine_group_B,o__norank_c__norank_p__SAR324_cladeMarine_group_B,f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B,g__norank_f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B,s__unclassified_g__norank_f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B
ASV1815,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__unclassified_p__Proteobacteria,o__unclassified_p__Proteobacteria,f__unclassified_p__Proteobacteria,g__unclassified_p__Proteobacteria,s__unclassified_p__Proteobacteria
ASV1816,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__norank_f__SM2D12,s__unclassified_g__norank_f__SM2D12
ASV1817,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__unclassified_g__Flavobacterium
ASV1031,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__norank_f__Methyloligellaceae,s__unclassified_g__norank_f__Methyloligellaceae
ASV2659,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__unclassified_g__norank_f__norank_o__Gaiellales
ASV2854,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Chujaibacter,s__unclassified_g__Chujaibacter
ASV54,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__unclassified_g__norank_f__norank_o__Gaiellales
ASV38,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia,s__unclassified_g__Devosia
ASV324,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__unclassified_g__Bacillus
ASV418,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Chujaibacter,s__unclassified_g__Chujaibacter
ASV710,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Bordetella,s__unclassified_g__Bordetella
ASV90,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,s__unclassified_g__Burkholderia-Caballeronia-Paraburkholderia
ASV750,d__Bacteria,k__norank_d__Bacteria,p__Nitrospirota,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira,s__unclassified_g__Nitrospira
ASV46,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__uncultured_Conexibacter_sp._g__norank
ASV160,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__unclassified_g__norank_f__norank_o__Gaiellales
ASV729,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,s__unclassified_g__Burkholderia-Caballeronia-Paraburkholderia
ASV1470,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Chujaibacter,s__unclassified_g__Chujaibacter
ASV343,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas
ASV222,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Sporosarcina,s__unclassified_g__Sporosarcina
ASV592,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__unclassified_f__Xanthobacteraceae,s__unclassified_f__Xanthobacteraceae
ASV39,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas
ASV2756,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Rhodanobacter,s__unclassified_g__Rhodanobacter
ASV860,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,s__unclassified_g__Burkholderia-Caballeronia-Paraburkholderia
ASV1092,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Chujaibacter,s__unclassified_g__Chujaibacter
ASV538,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Parafrigoribacterium,s__unclassified_g__Parafrigoribacterium
ASV1445,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Arthrobacter,s__unclassified_g__Arthrobacter
ASV364,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Geodermatophilaceae,g__Geodermatophilus,s__unclassified_g__Geodermatophilus
ASV731,d__Bacteria,k__norank_d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Solibacterales,f__Solibacteraceae,g__Candidatus_Solibacter,s__unclassified_g__Candidatus_Solibacter
ASV736,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__unclassified_f__Planococcaceae,s__unclassified_f__Planococcaceae
ASV553,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__unclassified_f__Acetobacteraceae,s__unclassified_f__Acetobacteraceae
ASV355,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__unclassified_g__norank_f__norank_o__Gaiellales
ASV42,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__unclassified_f__Microbacteriaceae,s__unclassified_f__Microbacteriaceae
ASV425,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__norank_f__SC-I-84,s__unclassified_g__norank_f__SC-I-84
ASV724,d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__unclassified_f__Bacillaceae,s__unclassified_f__Bacillaceae
ASV1478,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__unclassified_g__norank_f__norank_o__Gaiellales
ASV1504,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__unclassified_f__Alcaligenaceae,s__unclassified_f__Alcaligenaceae
ASV1482,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Mizugakiibacter,s__uncultured_Xanthomonadaceae_bacterium_g__Mizugakiibacter
ASV253,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__unclassified_o__Frankiales,g__unclassified_o__Frankiales,s__unclassified_o__Frankiales
ASV422,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__unclassified_g__Mycobacterium
ASV598,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Conexibacter,s__unclassified_g__Conexibacter
ASV2584,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Ramlibacter,s__unclassified_g__Ramlibacter
ASV3363,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,s__unclassified_g__Burkholderia-Caballeronia-Paraburkholderia
ASV1495,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__unclassified_g__norank_f__norank_o__Gaiellales
ASV1502,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__unclassified_f__Xanthobacteraceae,s__unclassified_f__Xanthobacteraceae
ASV405,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__norank_f__67-14,s__unclassified_g__norank_f__67-14
ASV15,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__unclassified_f__Burkholderiaceae,s__unclassified_f__Burkholderiaceae
ASV3365,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__norank_o__Gaiellales,g__norank_f__norank_o__Gaiellales,s__unclassified_g__norank_f__norank_o__Gaiellales
ASV25,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__unclassified_f__Comamonadaceae,s__unclassified_f__Comamonadaceae
ASV430,d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__TK10,o__norank_c__TK10,f__norank_o__norank_c__TK10,g__norank_f__norank_o__norank_c__TK10,s__unclassified_g__norank_f__norank_o__norank_c__TK10
ASV783,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Gaiella,s__uncultured_Rubrobacteria_bacterium_g__Gaiella
ASV1079,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,s__unclassified_g__Bradyrhizobium
ASV568,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,g__norank_f__Micropepsaceae,s__Rhizobiales_bacterium_WWH35
ASV2462,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__norank_f__SC-I-84,s__unclassified_g__norank_f__SC-I-84
ASV3017,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__Nitrosospira,s__unclassified_g__Nitrosospira
ASV3370,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__unclassified_o__Frankiales,g__unclassified_o__Frankiales,s__unclassified_o__Frankiales
ASV33,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Dyella,s__unclassified_g__Dyella
ASV523,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__unclassified_g__Nocardioides
ASV406,d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__TK10,o__norank_c__TK10,f__norank_o__norank_c__TK10,g__norank_f__norank_o__norank_c__TK10,s__bacterium_Ellin6519
ASV241,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__unclassified_g__Nocardioides
ASV511,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__Ellin6067,s__unclassified_g__Ellin6067
ASV1067,d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylovirgula,s__uncultured_bacterium_g__Methylovirgula
ASV643,d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__unclassified_f__Microbacteriaceae,s__unclassified_f__Microbacteriaceae
